Title,Link,Series,Time,Theme,Spotify
A Storm is Brewing. Is it Climate Change?,https://gimletmedia.com/shows/howtosaveaplanet/8whngnr/a-storm-is-brewing-is-it-climate-change,How to Save a Planet,0:32:30,Climate,<iframe style='border-radius:12px' src='https://open.spotify.com/embed/episode/0KqTnupchaRay7qI7QuiKU?utm_source=generator' width='100%' height='152' frameBorder='0' allowfullscreen='' allow='autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture' loading='lazy'></iframe>
Disease Ecology (LYME/TICK-BORNE ILLNESSES) with Dr. Andrea Swei.,https://www.alieward.com/ologies/diseaseecology,Ologies,1:12:55,Vectors & Pathogens,<iframe style='border-radius:12px' src='https://open.spotify.com/embed/episode/35RVV3c2ybXMK63ylbuSyS?utm_source=generator' width='100%' height='152' frameBorder='0' allowfullscreen='' allow='autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture' loading='lazy'></iframe>
Virology (COVID-19) with Dr. Shannon Bennett + various ologists.,https://www.alieward.com/ologies/virology,Ologies,1:23:31,Zoonoses & Viruses,<iframe style='border-radius:12px' src='https://open.spotify.com/embed/episode/4z4Khq9ppByhrPySvo5CKh?utm_source=generator' width='100%' height='152' frameBorder='0' allowfullscreen='' allow='autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture' loading='lazy'></iframe>
From Cars to Leaf Blowers: Noise Pollution's Toll on Human Health,https://www.npr.org/2024/07/05/1198910353/noise-pollution-harm-human-health-epa,Short Wave,0:15:08,Urban Environments,<iframe style='border-radius:12px' src='https://open.spotify.com/embed/episode/0CrCykMBePIF8f3C1udsC4?utm_source=generator' width='100%' height='152' frameBorder='0' allowfullscreen='' allow='autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture' loading='lazy'></iframe>
What to know about the new EPA rule limiting 'forever chemicals' in tap water.,https://www.npr.org/2024/04/12/1198909666/epa-pfas-forever-chemicals-limits-drinking-water,Short Wave,0:15:09,Toxicology,<iframe style='border-radius:12px' src='https://open.spotify.com/embed/episode/5diqBnLU61BlImPelnRMpK?utm_source=generator' width='100%' height='152' frameBorder='0' allowfullscreen='' allow='autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture' loading='lazy'></iframe>
What we'll eat on a warmer planet,https://www.npr.org/2024/07/05/1198908979/ted-radio-hour-future-of-food-eating-on-a-warmer-planet,TED Radio Hour,0:55:38,Food,<iframe style='border-radius:12px' src='https://open.spotify.com/embed/episode/60Q77NnwBNNLC3F6r9bCCM?utm_source=generator' width='100%' height='152' frameBorder='0' allowfullscreen='' allow='autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture' loading='lazy'></iframe>
"A More Walkable World: How walking benefits our health, communities, and planet",https://www.npr.org/2024/03/22/1198908640/ted-radio-hour-walkable-world,TED Radio Hour,0:55:38,Urban Environments,<iframe style='border-radius:12px' src='https://open.spotify.com/embed/episode/085gGVEvzFcs8Sn0qtfIW0?utm_source=generator' width='100%' height='152' frameBorder='0' allowfullscreen='' allow='autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture' loading='lazy'></iframe>
How do pandemics begin?,https://www.npr.org/sections/goatsandsoda/2023/02/15/1152892721/how-to-stop-pandemics,NPR: Goats and Soda,0:11:00,Zoonoses & Viruses,
Diana Hernandez on housing and health.,https://agentsofchangeinej.org/podcast/diana-hernandez-on-housing-and-health/,Agents of Change,1:00:39,Urban Environments,<iframe style='border-radius:12px' src='https://open.spotify.com/embed/episode/3DW0Zrp8Y6vvogS2tdJX9q?utm_source=generator' width='100%' height='152' frameBorder='0' allowfullscreen='' allow='autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture' loading='lazy'></iframe>
Should I Give Up Beef?,https://gimletmedia.com/shows/howtosaveaplanet/39hdadz,How to Save a Planet,0:41:57,Food,<iframe style='border-radius:12px' src='https://open.spotify.com/embed/episode/21IdhPJKgD29bn9OhJmrjh?utm_source=generator' width='100%' height='152' frameBorder='0' allowfullscreen='' allow='autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture' loading='lazy'></iframe>
Carlos Gould on wildfire smoke and our health,https://agentsofchangeinej.org/podcast/carlos-gould-on-wildfire-smoke-and-our-health/,Agents of Change,0:27:41,Heat & Fire,<iframe style='border-radius:12px' src='https://open.spotify.com/embed/episode/6qLoVrjWQKjhDaZSpAOyW1?utm_source=generator' width='100%' height='152' frameBorder='0' allowfullscreen='' allow='autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture' loading='lazy'></iframe>
Climate Change and Extreme Heat,https://www.americaadapts.org/episodes/climate-change-and-extreme-heat-end-of-summer-episode-with-dr-kelly-turner-and-dr-ladd-keith,America Adapts,0:53:02,Heat & Fire,<iframe style='border-radius:12px' src='https://open.spotify.com/embed/episode/7DJQrBcKR0ZQpcDaO94Taf?utm_source=generator' width='100%' height='152' frameBorder='0' allowfullscreen='' allow='autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture' loading='lazy'></iframe>
Environmental Toxicology (POISONS + TRAIN DERAILMENT) with Dr. Kimberly K. Garrett,https://www.alieward.com/ologies/environmentaltoxicology,Ologies,1:19:15,Toxicology,<iframe style='border-radius:12px' src='https://open.spotify.com/embed/episode/1AItn0j70q8FPouz0FHdcr?utm_source=generator' width='100%' height='152' frameBorder='0' allowfullscreen='' allow='autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture' loading='lazy'></iframe>
